Proj,ID,Entity,Entity_chn,Time,Startmilage,Endmilage,Length,Thickness,Geometry,Physics,State,Rule,Behavior
S2R,SCNL1,Secondarylinging,二次支护,2020-08-26,6709,6721,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL2,Secondarylinging,二次支护,2020-08-24,6699,6709,10,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL3,Secondarylinging,二次支护,2020-08-22,6687,6699,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL4,Secondarylinging,二次支护,2020-08-18,6675,6687,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL5,Secondarylinging,二次支护,2020-08-17,6669,6675,6,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL6,Secondarylinging,二次支护,2020-08-16,6667,6669,2,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL7,Secondarylinging,二次支护,2020-08-04,6656,6667,11,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL8,Secondarylinging,二次支护,2020-07-31,6644,6656,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL9,Secondarylinging,二次支护,2020-07-28,6632,6644,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL10,Secondarylinging,二次支护,2020-07-25,6620,6632,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL11,Secondarylinging,二次支护,2020-07-22,6608,6620,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL12,Secondarylinging,二次支护,2020-07-20,6596,6608,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL13,Secondarylinging,二次支护,2020-07-18,6584,6596,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL14,Secondarylinging,二次支护,2020-07-15,6574,6584,10,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL15,Secondarylinging,二次支护,2020-07-08,6562,6574,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL16,Secondarylinging,二次支护,2020-07-02,6550,6562,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL17,Secondarylinging,二次支护,2020-06-28,6538,6550,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL18,Secondarylinging,二次支护,2020-06-22,6526,6538,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL19,Secondarylinging,二次支护,2020-06-19,6514,6526,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
S2R,SCNL20,Secondarylinging,二次支护,2020-06-10,6502,6514,12,50cm,NA,C30防水混凝土,Construction_completed,NA,NA
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
